Tool;IdNumber;ToolType;ToolUserType;Permanent;UnitsDiameter;Diameter;Angle;Radius;ProfileRadius;UpperRadius;NumTeeth;Description;TaperAngle;ShankDiameter;UnitsLength;Length;TotalLength;ShoulderLength;Startshoulderlength;TipLength;CuttingLength;HLength;Material;UnitsFeedSpin;Ftype;FeedXY;FeedZ;FeedFinish;Stype;Spin;SpinFinish;FeedZPenetration;FeedLeadIn;FeedLeadOut;FeedLink;ToolName;ToolGroupName;HolderName;GroupHolderName;Direction;ChamferLength;TipDiameter;ShoulderDiameter;ShoulderAngle;Message1;Message2;Message3;Message4;Message5;FloodCoolant;MistCoolant;HighPressureCoolant;LowPressureCoolant;ThroughHighPressureCoolant;ThroughLowPressureCoolant;AirBlastCoolant;MinimumQuantityLubricationCoolant;MinimumQuantityLubricationValue;Rough;SpinDirection;SpinLimit;ThreadingStandard;ThreadStandardByUser;ThreadingTableStandard;NumThreads;Pitch;PitchUnit
51;D5_SCHLICHT_KURZ;END MILL;D5_Schaftfr�ser_MTC_202392;1;mm;5;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;6;mm;22;57;19;0;0;13;152;None;mm;Fz;0.04;0.03;0.03;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_6;;On B-axis;0;0;5;30;202392 5;308196 6;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
52;D5_SCHLICHT_LANG;END MILL;D5_Schaftfr�ser_MTC_202392;1;mm;5;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/lange Schneiden/202394;0;6;mm;27;62;24;0;0;17;107;None;mm;Fz;0.04;0.03;0.03;V;200;220;Y;100;100;200;;;Schrumpffutter_normal_(vernickelt)_308172_6;;On B-axis;0;0;5;30;202394 5;308172 6;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
53;D6_SCHLICHT_KURZ;END MILL;D6_Schaftfr�ser_MTC_202392;1;mm;6;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;6;mm;25;57;19;0;0;13;155;None;mm;Fz;0.04;0.035;0.035;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_6;;On B-axis;0;0;6;30;202392 6;308196 6;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
54;D6_SCHLICHT_LANG;END MILL;D6_Schaftfr�ser_MTC_202394;1;mm;6;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/lange Schneiden/202394;0;6;mm;27;62;24;0;0;18;107;None;mm;Fz;0.04;0.035;0.035;V;200;220;Y;100;100;200;;;Schrumpffutter_normal_(vernickelt)_308172_6;;On B-axis;0;0;6;30;202394 6;308172 6;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
55;D8_SCHLICHT_KURZ;END MILL;D8_Schaftfr�ser_MTC_202392;1;mm;8;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;8;mm;28;63;25;0;0;19;158;None;mm;Fz;0.042;0.035;0.035;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_8;;On B-axis;0;0;8;30;202392 8;308196 8;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
56;D8_SCHLICHT_LANG;END MILL;D8_Schaftfr�ser_MTC_202394;1;mm;8;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/lange Schneiden/202394;0;8;mm;33;68;30;0;0;24;113;None;mm;Fz;0.042;0.035;0.035;V;200;220;Y;100;100;200;;;Schrumpffutter_normal_(vernickelt)_308172_8;;On B-axis;0;0;8;30;202394 8;308172 8;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
57;D10_SCHLICHT_KURZ;END MILL;D10_Schaftfr�ser_MTC_202392;1;mm;10;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;10;mm;34;72;30;0;0;22;164;None;mm;Fz;0.06;0.05;0.05;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_10;;On B-axis;0;0;10;30;202392 10;308196 10;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
58;D10_SCHLICHT_LANG;END MILL;D10_Schaftfr�ser_MTC_202394;1;mm;10;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/lange Schneiden/202394;0;10;mm;42;80;38;0;0;30;127;None;mm;Fz;0.06;0.05;0.05;V;200;220;Y;100;100;200;;;Schrumpffutter_normal_(vernickelt)_308172_10;;On B-axis;0;0;10;30;202394 10;308172 10;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
59;D12_SCHLICHT_KURZ;END MILL;D12_Schaftfr�ser_MTC_202392;1;mm;12;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;12;mm;40;83;36;0;0;26;170;None;mm;Fz;0.06;0.05;0.05;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_12;;On B-axis;0;0;12;30;202392 12;308196 12;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
60;D12_SCHLICHT_LANG;END MILL;D12_Schaftfr�ser_MTC_202394;1;mm;12;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/lange Schneiden/202394;0;12;mm;50;93;46;0;0;36;140;None;mm;Fz;0.06;0.05;0.05;V;200;220;Y;100;100;200;;;Schrumpffutter_normal_(vernickelt)_308172_12;;On B-axis;0;0;12;30;202394 12;308172 12;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
61;D16_SCHLICHT_KURZ;END MILL;D16_Schaftfr�ser_MTC_202392;1;mm;16;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;16;mm;47;92;42;0;0;32;177;None;mm;Fz;0.08;0.065;0.065;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_16;;On B-axis;0;0;16;30;202392 16;308196 16;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
62;D16_SCHLICHT_LANG;END MILL;D16_Schaftfr�ser_MTC_202394;1;mm;16;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/lange Schneiden/202394;0;16;mm;63;108;58;0;0;48;158;None;mm;Fz;0.08;0.065;0.065;V;200;220;Y;100;100;200;;;Schrumpffutter_normal_(vernickelt)_308172_16;;On B-axis;0;0;16;30;202392 16;308172 16;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
63;D20_SCHLICHT_KURZ;END MILL;D20_Schaftfr�ser_MTC_202392;1;mm;20;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/kurze Schneiden/202392;0;20;mm;57;104;52;0;0;38;187;None;mm;Fz;0.1;0.08;0.08;V;200;220;Y;100;100;200;;;Schrumpffutter_lang_A=130mm_308196_20;;On B-axis;0;0;20;30;202392 20;308196 20;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
64;D20_SCHLICHT_LANG;END MILL;D20_Schaftfr�ser_MTC_202394;1;mm;20;0;0;0;0;3;VHM Schaftfr�ser/Schlicht u. Schrupp/MTC/Gold/lange Schneiden/202394;0;20;mm;80;126;74;0;0;60;180;None;mm;Fz;0.1;0.08;0.08;V;200;220;Y;100;100;200;;;Schrumpffutter_normal_(vernickelt)_308172_20;;On B-axis;0;0;20;30;202394 20;308172 20;0;;HSK 63;1;0;0;0;0;0;0;0;-1e-12;0;CW;0;;0;;0;0;mm
71;D6_SCHLICHT_UEBERLANG;END MILL;D6_Schruppfr�ser_MasterSteel_�berlang_203038;1;mm;6;0;0;0;0;4;Schruppfr�ser �berlang/ 203038/ freigeschliffen;0;6;mm;45;80;42;0;0;13;110;None;mm;Fz;0.035;0.025;0.02;V;220;230;Y;100;100;200;;;Weldon_304272_6;;On B-axis;0;0;5.8;90;203038 6;304272 6;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
72;D8_SCHLICHT_UEBERLANG;END MILL;D8_Schruppfr�ser_MasterSteel_�berlang_203038;1;mm;8;0;0;0;0;4;Schruppfr�ser �berlang/ 203038/ freigeschliffen;0;8;mm;65;100;62;0;0;21;130;None;mm;Fz;0.04;0.03;0.03;V;220;230;Y;100;100;200;;;Weldon_304272_8;;On B-axis;0;0;7.7;90;203038 8;304272 8;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
73;D10_SCHLICHT_UEBERLANG;END MILL;D10_Schruppfr�ser_MasterSteel_�berlang_203038;1;mm;10;0;0;0;0;4;Schruppfr�ser �berlang/ 203038/ freigeschliffen;0;10;mm;62;100;58;0;0;22;127;None;mm;Fz;0.045;0.0335;0.035;V;220;230;Y;100;100;200;;;Weldon_304272_10;;On B-axis;0;0;9.7;90;203038 10;304272 10;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
74;D12_SCHLICHT_UEBERLANG;END MILL;D12_Schruppfr�ser_MasterSteel_�berlang_203038;1;mm;12;0;0;0;0;4;Schruppfr�ser �berlang/ 203038/ freigeschliffen;0;12;mm;77;120;73;0;0;26;157;None;mm;Fz;0.05;0.0335;0.035;V;220;230;Y;100;100;200;;;Weldon_304272_12;;On B-axis;0;0;11.7;90;203038 12;304272 12;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
75;D16_SCHLICHT_UEBERLANG;END MILL;D16_Schruppfr�ser_MasterSteel_�berlang_203038;1;mm;16;0;0;0;0;4;Schruppfr�ser �berlang/ 203038/ freigeschliffen;0;16;mm;105;150;100;0;0;36;185;None;mm;Fz;0.065;0.045;0.045;V;220;230;Y;100;100;200;;;Weldon_304272_16;;On B-axis;0;0;15.5;90;203038 16;304272 16;0;;HSK 63;0;0;0;0;0;0;0;0;0;0;CW;0;;0;;0;0;mm
