QR;ToolNummer;ToolName;D;Ausspann_Laenge;IST_Laenge;SOLL_Laenge;Message1;Message2;Message3;Message4;Message5;Maschine
;581;GEWINDEFRAESER_M4_GUEHRING;3;15;95;;3526 4.000;308172 6;;;HSK 63;DMU
;582;GEWINDEFRAESER_M5_GUEHRING;4;15;95;;3526 5.000;308172 6;;;HSK 63;C32
;583;GEWINDEFRAESER_M6_GUEHRING;4.8;20;100;;3526 6.000;308172 8;;;HSK 63;C42
;586;GEWINDEFRAESER_M2_HORN;1.5;15;135;;DCG.3.M2.040.2.1.03 ES15;308318 3;;;HSK 63;C400
;587;GEWINDEFRAESER_M3_HORN;2;15;135;;DCG.3.M3.050.2.1.04 AN25;308318 3;;;HSK 63;DMU
;588;GEWINDEFRAESER_M8_HORN;5.5;25;105;;DCG.4.M8.125.5.2.08 AN25;308187 8;;;HSK 63;C32
;589;GEWINDEFRAESER_M10_HORN;6.8;25;105;;DCG.4.M10.150.6.2.08 AN25;308187 8;;;HSK 63;C42
;590;GEWINDEFRAESER_M12_HORN;8;30;115;;DCG.4.M12.175.6.2.10 AN25;308187 10;;;HSK 63;C400
;615;D3_SCHLICHT_KURZ_VARIOVAC_LANG;3;19;179;;202270 3;304973 2-6;309563 3;;HSK 63;DMU
;652;SPEZIAL_VARIOVAC_2.5X1.5_UNTEN;2.5;15;95;;202392 2,5;308172 6;;;HSK 63;C32
;653;SPEZIAL_VARIOVAC_3X2_UNTEN;3;15;95;;202392 3;308172 6;;;HSK 63;C42
;654;SPEZIAL_VARIOVAC_3X3_UNTEN;3;15;95;;202392 3;308172 6;;;HSK 63;C400
;655;SPEZIAL_VARIOVAC_3.5X3.5_UNTEN;3.5;15;95;;202392 3.5;308172 6;;;HSK 63;DMU
;656;SPEZIAL_VARIOVAC_4X3_UNTEN;4;17;97;;202392 4;308172 6;;;HSK 63;C32
;657;SPEZIAL_VARIOVAC_5X3_UNTEN;5;17;97;;202392 5;308172 6;;;HSK 63;C42
;658;SPEZIAL_VARIOVAC_3.5X2.5_UNTEN;3.5;8;88;;202392 5;308172 6;;;HSK 63;C400
;659;SPEZIAL_KUGELFRAESER_D8.6;8.6;41;161;;9001200;304315 10;;;HSK 63;DMU
;709;D0.8_BOHRER_VHM;0.8;13.5;135;;121220 0,8;304972;309563 4;;HSK 63;C32
;710;D1.0_BOHRER_VHM;1;13.5;175;;121220 1;304974 2-6;309563 3;;HSK 63;C42
;720;D2.0_BOHRER_VHM;2;15;135;;121220 2;308318 3;;;HSK 63;C400
;729;D2.9_BOHRER_VHM_BLAU;2.9;25;155;;122659 2.9;308196 4;;;HSK 63;DMU
;730;D3.0_BOHRER_VHM_8XD;3;37;157;;122659 3.7;308192 6;;;HSK 63;C32
;737;D3.7_BOHRER_VHM_BLAU;3.7;31;151;;122659 3.7;308192 6;;;HSK 63;C42
;740;D4.0_BOHRER_VHM_12XD;4;68;148;;123306 4;308172 6;;;HSK 63;C400
;750;D5.0_BOHRER_VHM_8XD;5;60;140;;123106 5;308172 6;;;HSK 63;DMU
;759;D5.9_BOHRER_VHM_BLAU;5.9;48;168;;122659 5.9;308192 6;;;HSK 63;C32
;760;D6.0_BOHRER_VHM_8XD;6;60;180;;123106 6;308192 6;;;HSK 63;C42
;761;D6.1_BOHRER_VHM_8XD;6.1;80;160;;123106 6.1;308172 8;;;HSK 63;C400
;768;D6.8_BOHRER_VHM_BLAU;6.8;57;177;;122659 6.8;308192 8;;;HSK 63;DMU
;770;D7.0_BOHRER_VHM_6XD;7;57;137;;;;;;HSK 63;C32
;775;D7.5_BOHRER_VHM_BLAU;7.5;57;177;;122659 7.5;308192 8;;;HSK 63;C42
;785;D8.5_BOHRER_VHM_6XD;8.5;99;184;;123106 8,5;308172 10;;;HSK 63;C400
;788;D8.8_BOHRER_VHM_8XD;8.8;99;184;;123106 8.8;308172 10;;;HSK 63;DMU
;793;D9.3_BOHRER_VHM_6XD;9.3;65;185;;122630 9,3;308192 10;;;HSK 63;C32
;796;D14_WP_BOHRER;14;170;170;;QR0140070JER00;307005 25;;;HSK 63;C42
